Name,Price,Charts,Change,Market cap,Trade,Volume (24h),Supply
TetherUSDT,€0.94,,0.12%,€79.8B,€27.2B,84.6B,Trade
BNBBNB,€213.16,,1.13%,€32.3B,€280.5M,151.7M,Trade
XRPXRP,€0.56,,1.83%,€30.0B,€2.1B,53.6B,Trade
USDCUSDC,€0.94,,,€23.5B,€3.3B,24.9B,Trade
SolanaSOL,€34.12,,4.14%,€14.3B,€1.2B,419.3M,Trade
CardanoADA,€0.28,,2.75%,€9.7B,€255.4M,35.2B,Trade
DogecoinDOGE,€0.0648,,2.00%,€9.2B,€379.2M,141.6B,Trade
TRONTRX,€0.0907,,0.77%,€8.0B,€232.9M,88.8B,Trade
ToncoinTON,€2.12,,6.36%,€7.3B,€61.5M,3.4B,Trade
ChainlinkLINK,€10.62,,1.21%,€5.9B,€738.3M,556.8M,Trade
PolygonMATIC,€0.60,,1.26%,€5.5B,€275.9M,9.2B,Trade
PolkadotDOT,€4.13,,1.58%,€5.4B,€205.2M,1.3B,Trade
Wrapped BitcoinWBTC,"€32,346.94",,0.78%,€5.3B,€123.2M,163.8K,Trade
DaiDAI,€0.94,,0.11%,€5.0B,€133.0M,5.3B,Trade
LitecoinLTC,€65.49,,0.08%,€4.8B,€296.0M,73.8M,Trade
Bitcoin CashBCH,€229.09,,1.22%,€4.5B,€155.2M,19.5M,Trade
SHIBA INUSHIB,€0.00000737,,2.56%,€4.3B,€132.0M,589.3T,Trade
AvalancheAVAX,€10.72,,1.49%,€3.8B,€228.9M,355.1M,Trade
UNUS SED LEOLEO,€3.73,,0.13%,€3.5B,€477.9K,928.7M,Trade
Stellar LumensXLM,€0.11,,1.50%,€3.2B,€149.0M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.13%,€3.2B,€227.0M,3.3B,Trade
MoneroXMR,€160.76,,2.08%,€2.9B,€88.8M,18.4M,
CosmosATOM,€7.53,,7.10%,€2.8B,€230.9M,372.3M,Trade
OKBOKB,€42.60,,0.37%,€2.6B,€2.8M,60.0M,Trade
Ethereum ClassicETC,€16.33,,2.76%,€2.4B,€270.8M,143.8M,Trade
UniswapUNI,€3.91,,0.58%,€2.3B,€118.0M,588.2M,Trade
Aave UNI V2aUNIv2,€3.91,,1.38%,€2.3B,€117.9M,588.2M,Trade
Binance USDBUSD,€0.94,,0.09%,€1.9B,€432.0M,2.0B,Trade
FilecoinFIL,€3.59,,1.20%,€1.7B,€132.5M,461.4M,Trade
Internet ComputerICP,€3.70,,1.63%,€1.7B,€26.8M,447.7M,Trade
HederaHBAR,€0.0487,,2.31%,€1.6B,€62.5M,33.5B,Trade
AptosAPT,€6.58,,3.07%,€1.6B,€196.5M,247.5M,Trade
Lido DAO TokenLDO,€1.68,,3.48%,€1.5B,€56.7M,890.2M,Trade
Crypto.com CoinCRO,€0.0580,,1.21%,€1.4B,€7.0M,25.3B,Trade
vechainVET,€0.0176,,2.43%,€1.3B,€41.0M,72.7B,Trade
MakerMKR,"€1,289.81",,2.52%,€1.3B,€49.9M,977.6K,Trade
Aave MKR V2aMKRv2,"€1,292.33",,2.95%,€1.3B,€49.7M,977.6K,Trade
NEAR ProtocolNEAR,€1.20,,0.77%,€1.2B,€79.2M,989.9M,Trade
QuantQNT,€96.32,,3.16%,€1.2B,€15.8M,12.1M,Trade
OptimismOP,€1.30,,2.46%,€1.1B,€100.1M,880.4M,Trade
ArbitrumARB,€0.89,,0.81%,€1.1B,€261.1M,1.3B,Trade
AaveAAVE,€77.18,,2.95%,€1.1B,€112.8M,14.6M,Trade
MantleMNT,€0.36,,1.46%,€1.1B,€46.9M,3.1B,Trade
InjectiveINJ,€12.60,,2.36%,€1.1B,€74.8M,83.8M,Trade
THORChainRUNE,€2.70,,5.64%,€912.3M,€206.8M,338.9M,
The GraphGRT,€0.0974,,5.27%,€903.2M,€56.3M,9.3B,Trade
Bitcoin SVBSV,€45.91,,2.87%,€883.9M,€48.3M,19.3M,
StacksSTX,€0.58,,2.41%,€826.7M,€42.7M,1.4B,Trade
RenderRNDR,€2.21,,10.17%,€825.9M,€105.7M,371.9M,Trade
AlgorandALGO,€0.10,,0.36%,€816.3M,€59.4M,7.9B,Trade
ImmutableIMX,€0.61,,4.33%,€744.8M,€23.9M,1.2B,Trade
MultiversXEGLD,€28.10,,2.44%,€735.0M,€21.4M,26.1M,Trade
Axie InfinityAXS,€5.10,,6.66%,€725.5M,€99.7M,141.4M,Trade
USDDUSDD,€0.94,,0.12%,€683.6M,€18.9M,725.3M,Trade
XDC NetworkXDC,€0.0485,,4.94%,€672.0M,€10.2M,13.9B,
The SandboxSAND,€0.32,,3.60%,€671.5M,€79.0M,2.1B,Trade
TezosXTZ,€0.70,,1.85%,€666.0M,€20.2M,958.1M,Trade
EOSEOS,€0.59,,0.12%,€651.9M,€121.5M,1.1B,Trade
DecentralandMANA,€0.34,,3.80%,€647.7M,€64.5M,1.9B,Trade
FantomFTM,€0.23,,0.03%,€647.9M,€64.1M,2.8B,Trade
Theta NetworkTHETA,€0.64,,0.84%,€644.2M,€17.1M,1.0B,Trade
Bitget TokenBGB,€0.46,,0.61%,€637.3M,€17.7M,1.4B,Trade
Synthetix Network TokenSNX,€2.14,,2.58%,€585.8M,€38.1M,273.3M,Trade
Aave SNX V2aSNXv2,€2.14,,2.56%,€585.4M,€38.1M,273.3M,Trade
NeoNEO,€8.25,,3.86%,€582.4M,€45.3M,70.5M,
MinaMINA,€0.57,,4.21%,€565.6M,€45.4M,993.9M,Trade
KavaKAVA,€0.63,,0.80%,€560.6M,€46.6M,890.2M,Trade
ConfluxCFX,€0.16,,2.07%,€524.9M,€79.6M,3.4B,
eCashXEC,€0.000026,,2.31%,€512.3M,€14.3M,19.5T,
FlowFLOW,€0.48,,5.78%,€502.7M,€57.9M,1.0B,Trade
First Digital USDFDUSD,€0.94,,0.18%,€498.6M,€1.7B,528.1M,Trade
ChilizCHZ,€0.0621,,2.60%,€469.9M,€66.4M,7.6B,Trade
Gala V1GALA,€0.0184,,4.09%,€467.9M,€120.8M,25.4B,Trade
Tether GoldXAUt,"€1,891.31",,0.26%,€466.2M,€3.7M,246.5K,Trade
ApeCoinAPE,€1.25,,3.82%,€461.8M,€40.8M,368.6M,Trade
Paxos StandardPAX,€0.94,,0.90%,€455.0M,€991.9K,483.7M,Trade
PAX GoldPAXG,"€1,867.78",,0.26%,€457.8M,€5.8M,244.6K,Trade
PepePEPE,€0.00000108,,4.59%,€450.9M,€126.2M,417.1T,Trade
IOTAIOTA,€0.15,,3.23%,€437.1M,€13.6M,3.0B,
BitTorrent(New)BTT,€0.00000046,,9.27%,€435.0M,€52.8M,951.4T,Trade
ZcashZEC,€26.61,,0.54%,€435.3M,€48.5M,16.3M,Trade
Rocket PoolRPL,€21.86,,2.71%,€430.8M,€3.3M,19.8M,Trade
KuCoin TokenKCS,€4.33,,1.16%,€419.3M,€1.1M,96.7M,Trade
Frax ShareFXS,€5.52,,3.58%,€413.3M,€19.9M,74.9M,Trade
Trust Wallet TokenTWT,€0.99,,1.59%,€412.8M,€16.3M,416.6M,
KlaytnKLAY,€0.13,,0.48%,€408.9M,€12.9M,3.2B,
Curve DAO TokenCRV,€0.45,,2.59%,€407.3M,€43.5M,898.5M,Trade
Aave CRV V2aCRVv2,€0.45,,3.61%,€407.6M,€43.5M,898.5M,Trade
dYdXDYDX,€2.21,,4.89%,€403.7M,€86.7M,183.8M,Trade
GMXGMX,€42.10,,3.37%,€384.7M,€19.6M,9.2M,
Huobi TokenHT,€2.28,,0.24%,€369.8M,€6.2M,162.2M,Trade
ArweaveAR,€5.50,,7.68%,€358.4M,€24.8M,65.5M,
SUISUI,€0.42,,4.82%,€356.4M,€105.6M,860.4M,Trade
CasperCSPR,€0.0311,,3.43%,€355.7M,€4.1M,11.4B,
WOO NetworkWOO,€0.20,,5.37%,€355.3M,€14.5M,1.8B,Trade
TerraLUNA,€0.000060,,3.31%,€347.7M,€21.7M,5.8T,Trade
CompoundCOMP,€43.27,,2.82%,€341.5M,€42.1M,7.9M,Trade
GateTokenGT,€3.60,,0.67%,€341.3M,€1.6M,94.9M,Trade
NexoNEXO,€0.60,,0.51%,€333.5M,€2.2M,560.0M,Trade
DashDASH,€27.94,,2.52%,€321.3M,€54.5M,11.5M,Trade
APENFTNFT,€0.00000032,,1.93%,€320.7M,€17.1M,990.1T,Trade
Oasis NetworkROSE,€0.0473,,5.09%,€307.9M,€15.2M,6.5B,Trade
ZilliqaZIL,€0.0175,,3.31%,€302.6M,€20.7M,17.4B,
FLOKIFLOKI,€0.000031,,9.60%,€294.3M,€57.9M,9.5T,Trade
QtumQTUM,€2.75,,4.14%,€287.5M,€43.7M,104.8M,
Basic Attention TokenBAT,€0.19,,1.85%,€286.3M,€20.3M,1.5B,Trade
1inch1INCH,€0.27,,3.30%,€282.1M,€23.9M,1.0B,Trade
Fetch.aiFET,€0.34,,2.22%,€279.0M,€68.3M,812.4M,Trade
SafePalSFP,€0.66,,1.55%,€277.9M,€4.2M,420.8M,Trade
AstarASTR,€0.0511,,0.52%,€272.5M,€14.0M,5.3B,
SingularityNETAGIX,€0.22,,4.70%,€265.6M,€37.6M,1.2B,Trade
TellorTRB,€105.71,,7.67%,€263.6M,€142.0M,2.5M,Trade
MX TOKENMX,€2.62,,3.17%,€263.6M,€2.4M,100.6M,Trade
FLAREFLR,€0.0098,,2.79%,€262.3M,€11.0M,26.8B,Trade
PancakeSwapCAKE,€1.16,,1.04%,€262.4M,€12.6M,225.5M,Trade
GnosisGNO,€100.32,,0.28%,€260.3M,€10.7M,2.6M,Trade
LoopringLRC,€0.19,,1.19%,€252.7M,€19.0M,1.3B,Trade
NEMXEM,€0.0280,,2.66%,€251.5M,€9.7M,9.0B,
TerraLUNA,€0.44,,2.63%,€248.1M,€32.0M,565.5M,
JUSTJST,€0.0275,,4.00%,€244.8M,€34.2M,8.9B,
Bitcoin GoldBTG,€13.95,,4.05%,€244.2M,€15.1M,17.5M,
Enjin CoinENJ,€0.24,,3.75%,€243.7M,€27.9M,1.0B,Trade
CeloCGLD,€0.46,,3.25%,€234.7M,€13.0M,515.1M,Trade
ChiaXCH,€26.28,,1.54%,€234.0M,€30.8M,8.9M,
BlurBLUR,€0.22,,7.03%,€233.9M,€47.5M,1.0B,Trade
aelfELF,€0.34,,2.15%,€231.0M,€10.2M,682.6M,Trade
Mask NetworkMASK,€2.78,,3.31%,€228.7M,€74.2M,82.1M,Trade
HoloHOT,€0.0013,,2.12%,€226.5M,€35.0M,172.3B,Trade
Theta FuelTFUEL,€0.0357,,1.76%,€226.6M,€5.2M,6.3B,
STEPNGMT,€0.17,,6.03%,€223.2M,€51.9M,1.3B,Trade
Akash NetworkAKT,€1.01,,0.71%,€222.6M,€3.5M,220.7M,Trade
0x ProtocolZRX,€0.26,,6.37%,€221.0M,€200.5M,847.5M,Trade
Ethereum Name ServiceENS,€7.41,,1.89%,€221.9M,€12.9M,30.1M,Trade
Aave ENS V2aENSv2,€7.40,,1.71%,€222.3M,€12.9M,30.1M,Trade
Convex FinanceCVX,€2.68,,4.23%,€219.2M,€7.0M,81.5M,Trade
PolymeshPOLYX,€0.29,,11.54%,€218.4M,€367.9M,744.4M,
RavencoinRVN,€0.0164,,3.20%,€215.6M,€15.3M,13.1B,
AnkrANKR,€0.0210,,2.66%,€209.7M,€17.3M,10.0B,Trade
HeliumHNT,€1.45,,1.77%,€208.3M,€946.7K,143.9M,Trade
WorldcoinWLD,€1.86,,5.75%,€206.5M,€103.4M,111.1M,Trade
Golem (Old)GNT,€0.20,,4.32%,€202.4M,€9.5M,1.0B,Trade
GolemGLM,€0.20,,4.32%,€202.4M,€9.5M,1.0B,Trade
ICONICX,€0.21,,1.38%,€201.2M,€44.7M,970.7M,
Ocean ProtocolOCEAN,€0.35,,4.87%,€197.0M,€29.1M,568.4M,Trade
IoTeXIOTX,€0.0207,,3.28%,€196.0M,€10.7M,9.4B,Trade
ThresholdT,€0.0211,,4.03%,€195.4M,€15.0M,9.3B,Trade
DecredDCR,€12.44,,0.91%,€194.2M,€1.0M,15.6M,
WAXWAXP,€0.0576,,3.23%,€194.3M,€92.5M,3.4B,
